image,black,blue,brown,green,red,white,dress,shirt,pants,shorts,shoes,color
./clothes_dataset\red_dress\b6f07ee2e4b5680aa68b589c71d6483fdd762298.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\white_dress\f6d4c90ff9f0b6dc668b9d3227190fd787091ad1.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\blue_shirt\92fbd27c523fef12428c5bee87e8b51f9f692c62.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\blue_shoes\a045287cd1e12185e2314ed6c485fbbe39264be9.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\red_shoes\599780cb22fbaea39a8f48ab0c0b6ad9b205f39d.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\red_dress\1da2e75d7e4ec49aed4ed0bb57ccce6ac0b02e3a.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\white_shoes\b2a779633cf05f604a1726b0039db609bbcc13c6.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\red_dress\f9daf5b3ca8b426f035bb839b940d9a5306f92bd.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_shirt\855c9a84b3b3236a116662b72e8ad6adda4c8819.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\red_shoes\358ff472ac1678369180fb94afd7d695113cae65.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\black_dress\a93d262330bb5893f6ff8b918ccada04c1d7babc.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\red_shoes\74b2bdac9878a58f5c5094bcdd18ac1fca190727.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\black_shoes\995f206acbd2174da7f967e2308d63c11892a7aa.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\blue_shirt\2faf366c98abdbe02f62973715302456354b0037.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\brown_shoes\b8b87bfe0f17c9bf9d692ce1c26980df9b23b6e2.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\blue_shoes\794cb5ecc8d574e8d7af2c990dbfab6174f22237.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\white_pants\8b3319b1d4f3cce60f1a084ec11a715514798601.jpg,0,0,0,0,0,1,0,0,1,0,0,5
./clothes_dataset\blue_pants\8b0f21ffc86333a6038085a98ed8abe49c14e149.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_shoes\5525d3c20cb0681a0572ad9d2f9f4af82500e30e.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\blue_dress\de14aa152495cb94bba5e59b3ab26c437bfe6daf.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\blue_shirt\dfe2417a5ef9a837a3a02374f5728dcca6b62a61.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\white_shoes\47a354840bc9e9b63ac958813135af860d9e26f3.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\black_shirt\1fc373eabfb99830b5a186a82d092cea216ad4ef.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\blue_shirt\d06003e22ed24f456509b15b06e34d1623dc47bb.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\brown_shoes\b9fee6c29b0846f4ea6a4316777965b6c1e07134.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\red_dress\37b0a9b34adb43ab411d54a9cc75340f84a5c209.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shirt\daff9950c1e0f3c1997049c7922bf5d58f01e979.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\black_pants\3d7c0506cdb92031c46584bd14c4806838126509.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\green_shorts\e74d11d3772c1899e9940da08517ece1c2ad5c39.jpg,0,0,0,1,0,0,0,0,0,1,0,3
./clothes_dataset\blue_shirt\73f467d3e6cdc68ffac161213c3b5452cd820909.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\white_dress\a466ef094ec6cc19f649231ada1be8e26cc2902e.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\red_pants\17c9cb39a63a3ac8fe9a93d5593c90b59ba85d54.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\red_dress\9ecdfd0f491d0c11666d35c0a631100a3f40f983.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shorts\a3290e9df4ba01626b6280316495190d64820ac3.jpg,1,0,0,0,0,0,0,0,0,1,0,0
./clothes_dataset\brown_shorts\0a1bddec088aff78a2babfd31db25d3ff1d3e0ef.jpg,0,0,1,0,0,0,0,0,0,1,0,2
./clothes_dataset\red_dress\c5b3532d5be359549fcdecc6fec39085eb6158fc.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\brown_pants\8453b6c10455563e687caed7bbed0e88231404c0.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\brown_shorts\c4d75bbf1873ebc12e77770efc1d491299523696.jpg,0,0,1,0,0,0,0,0,0,1,0,2
./clothes_dataset\white_dress\101b95c6498187253f0acfc0487253c1738f6509.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\red_dress\3243c79e7900c183e78b9ba0f151104631e4079b.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shoes\49b48d16ce9fcdf019e824dda73393a9a9d9136c.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\black_dress\4500ca65c5eb8d42782fc4f4a722109a26d40933.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\blue_pants\2cde894cd3f3e0d451fc8c3d16e962393c934f7a.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_shorts\d5ef3b4d53a3c94129dfa169a8d4ae000fc72476.jpg,1,0,0,0,0,0,0,0,0,1,0,0
./clothes_dataset\blue_shirt\35170c53f77d708c36a153d537b3b858e5375a48.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\black_pants\4f7d0dc26b298439404bd85acb531de2db09d148.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\brown_shoes\22e3c71889ccca4287c36bad46d2806b49e8d1d1.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\green_pants\209af8b9788d60f19a424e68f72aa11434978620.jpg,0,0,0,1,0,0,0,0,1,0,0,3
./clothes_dataset\red_dress\be2ab4fb7ae511493ce10d90ed329d73d17d1c6b.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shoes\20d707b9f0670d13df2c1600de60dc6e474b32a1.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\red_dress\b90f79307a31051c9e69a064253fedafc292053f.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_shoes\caa0f6eaab480f509e1b2005a49ff9bdca88d530.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\blue_shoes\b85c5aa3de53dd4e60408142870c7681bb6e1bc3.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\black_dress\ae37e11cf2e3f3c062ac4e5a08d568c758635ba0.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\blue_dress\37ec56b09694b8a235179078d0bf48575500e60d.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\blue_dress\40721dd761cd259edc10b0bf837c1442b140498f.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\white_dress\8b5e37dafb2fd02905427113992c4f0ba2440072.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\blue_shirt\70cdceeaf9b5d82f44ec8d0451c00f5de8a21ef6.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\red_shoes\e10b512f9d75df28fdd63375dda4ce919d60550f.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\blue_shoes\b2fbd76baafbac2a4df8c900d518d124cdacc444.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\red_pants\e4a28a6b78515d2f21355d73ac117553b06bd6d4.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\black_pants\31e777f08449b218932f6d4a29413cc1dcb4a877.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\red_dress\e417e3f525080c2a54ebf0b35e56dea74d99c9eb.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_pants\0ac4e4a77acf752a11cbeb4f8707fee85d0de9cb.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\brown_shoes\ffec0d5a59a770ba454686d7041a8a3ed11923da.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\black_shoes\34b4d2f3f9572c2c141144433734830db77f226c.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\red_pants\cde768f4cffa3db6bb971fda96f16e5fb0cc523c.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\black_shirt\85577e5791f9bae716ba4668efe92c0f6382a892.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\white_shoes\abb15b2d9221cfa9f1a16fb4ac24b9d126916c93.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\red_dress\baf791f6da5b787130226d5783e8b713d4ed10c9.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\white_shorts\011a1213ff68595caed129353dd5cfe93a1e814f.jpg,0,0,0,0,0,1,0,0,0,1,0,5
./clothes_dataset\red_dress\7355b27991cb2bc773bb3096b373a3264ce0d4b5.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\white_shoes\ab7d5097ca73f9d052f33626b652bc9bb7b19cd7.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\blue_pants\b30b8c2509b9a67d9439c5fd22cc1284a81bfeff.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_shoes\8fdc9f18ab293594104d22bf7d61beacfa7dffae.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\white_dress\e2415e046053d8418a8ed3a285632b56aadd0541.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\white_dress\c988350ebfc684aca11a9603739863770d4777fd.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\white_pants\3eab08fa8b24d448029d462d204d9f8d6b63af6d.jpg,0,0,0,0,0,1,0,0,1,0,0,5
./clothes_dataset\blue_pants\4fb2f74b4d558aac20366513952be64c5847744c.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_dress\725bb353c6ab8f2663b779565356d8ed0f0d1321.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\red_shoes\a4bdf8149119ffa016113b59041855730184464e.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\green_shorts\7ebd2ba4aa7d9b527cbc6b2ca956d2af87ec3f6c.jpg,0,0,0,1,0,0,0,0,0,1,0,3
./clothes_dataset\blue_dress\55cb818ae67a83d3afd2a2c1563d7c7338df1314.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\blue_shorts\908f1fccdd8d6b194f5321c3a76ec04ba00ab201.jpg,0,1,0,0,0,0,0,0,0,1,0,1
./clothes_dataset\white_dress\8c932541f1505ec56e7e11e2355cba19a506e638.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\red_shoes\ab591b20d6459506cbb227008a44d5fbc938ced2.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\red_dress\9930e560f3e543c3f4018615994263340dd0348f.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_pants\136f549039b7bd704ad307f77364706556f30bf8.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\blue_shorts\99b1136a8f755e7dc43066de7469e7489e272bdf.jpg,0,1,0,0,0,0,0,0,0,1,0,1
./clothes_dataset\brown_pants\0ab8b7722b1a77d7f1ffc905c65893cc29fba514.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\red_shoes\b40f7a0d2c1d595f74197c42cb53b5b33bc38d8f.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\red_shoes\9bfb9fc6d5f7ba79fa302dcc1f6ab5ae8da8cec6.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\blue_pants\d1791e832c90e6524d80d99c67d0ef47cec69ea6.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_shoes\29cf0b1129827a75aba57fb30d60e71ad58c4b3e.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\black_shoes\b918ae7cc16f06669fb20bb7613862a4ec163341.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\black_shorts\ed83bf22d94f9fbbb4e2b42f962a1a8ff88b9511.jpg,1,0,0,0,0,0,0,0,0,1,0,0
./clothes_dataset\red_dress\5020c4fe1e4d515dddee580adf55d8bbd88e964f.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_shirt\dad6c35e1ab2b24740a2352a93f06807a06bcde5.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\red_pants\fd5c57ae01caf225d432147a47042dbfc95a0ce7.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\black_dress\1280320189876ce2d5a8d550137f69136f72ed46.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\green_shorts\28ab04a4e4af7ce0040e0de81ce98255378be1fd.jpg,0,0,0,1,0,0,0,0,0,1,0,3
./clothes_dataset\black_shirt\2e072cb9fcd61a1d1dc8dbdbee34783c81233712.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\brown_pants\df00c78267b8e77b91a003f27f79341e07694f60.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\black_shirt\4c19285330fa895fb8dc26f973cd7d61e225ccab.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\white_pants\00b2234fa8d634a80cce7f9bf3adf62ac2cf95d8.jpg,0,0,0,0,0,1,0,0,1,0,0,5
./clothes_dataset\red_dress\17b1af4b07feba945696cbfd06c56dc8354da70b.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_shirt\417f84a3bf368a5b7f6543833b304cb9b493f2d0.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\green_shirt\2e6d0637fdefcb249807e187095358363f461b8f.jpg,0,0,0,1,0,0,0,1,0,0,0,3
./clothes_dataset\black_shirt\1a5c9dc36725668a6cb4ab6deddf5f0228596b61.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\blue_shirt\5ba39c64a5622659fd9f7fddddfb6ea8a56e272f.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\brown_pants\79760cd08089888b4f7670011cc31371354eb60d.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\black_shoes\f1a2f1157561b10572c4295f78042782d7a9d7d3.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\black_dress\a15ca323891b2007219c1c7093e308fa7ce88be3.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\black_shirt\3d92460d321516d865367d8f9e754f89501cd74b.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\red_shoes\b924ee67c86511002595ceca7a46544e79f45247.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\red_dress\adcf868cdb7f8e00a6994ed47e4e1adb2d6a2b1b.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_shirt\55c84f5a0bc178d8aca79b18e0cbe20b47916386.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\green_shirt\ba1656c53628cf9993952b12d2d7f770a575bc4a.jpg,0,0,0,1,0,0,0,1,0,0,0,3
./clothes_dataset\green_shirt\3409fa5914c26d1b4f4219c4e57f1a75eee17d3e.jpg,0,0,0,1,0,0,0,1,0,0,0,3
./clothes_dataset\white_dress\18e35fd47286682999b9ad364bdd00602d865676.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\blue_pants\11893e8d98c4ae85c60f05d9702e93f019c57260.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\red_dress\46fd4268027ab338cb64a829be78f7003a8d28d5.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shorts\3a3413e4f002fd1b9ca0bd2583dbfde05a46dd13.jpg,1,0,0,0,0,0,0,0,0,1,0,0
./clothes_dataset\brown_shoes\0d5c9eda933edc0958a247c98528a93dd6edf84e.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\blue_shirt\c73a79d3199a4ff6877ea8647402e1e02b72604b.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\blue_shoes\57ba5893b82ce3926e6a72084cf868f2b11e9bfb.jpg,0,1,0,0,0,0,0,0,0,0,1,1
./clothes_dataset\white_dress\c12ecbedb78ce0fdc39cfeed777dbaebef03533f.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\blue_shirt\8a3d6d0383777d8514bb2c3eb2e19f21d999a6e3.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\red_shoes\5cd117ccbb60e9625ae7c8aa9d61762978a8c439.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\red_dress\433019122ca23a59a35b83caafc703afac137cba.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shoes\913625fd6d398dbe663fbecae1d977a47e931f9c.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\brown_shoes\662074cfd841b891db882f0aba5ddc6446ea2f5f.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\blue_shirt\612c52459064ba29f504d949368fe1a039e01632.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\black_pants\12b5e144f24ad00c742e147e84c1f3d544c89042.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\white_dress\73953c5dd2e42c49fa764930870f53898a8965da.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\black_shirt\ea957d490fbc29c238b5a7f01e791540c426b0d0.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\white_dress\b3275432afe5d3d43aa7913897884c9f684b4a76.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\white_shorts\3f9d396fe1e00f65c91c01fc2f1e52215a45a159.jpg,0,0,0,0,0,1,0,0,0,1,0,5
./clothes_dataset\red_pants\d9e0badc375cc04db20cf2a0d8b21882eb8204e9.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\red_pants\963fa031fe3f6eb3de9c9f7b025aed7fe1225467.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\white_dress\7e45db143308d55d77a03641d327ca39391c70a0.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\red_shoes\09723b37d24131a90220a6fad486088400349676.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\black_pants\14ffa4dca22e04df668a719abcd1b2355d84a871.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\blue_shorts\67df4412ece6b25667744478b5e8a8fba222a660.jpg,0,1,0,0,0,0,0,0,0,1,0,1
./clothes_dataset\blue_pants\35e920156e57945408ed548fc4545d7cc7be5f22.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_pants\7399ba0b41d937ffa609904e8e63e68a5a0eb4fb.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\black_shirt\2e8a1aaf28d4f152b9e06b23fd6db01b30f2a795.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\red_pants\5bef18a4b8e6e0d4931005770a7b1eed4fb51404.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\black_pants\3ad0327758d94504641ebb9d86939cd6d441d575.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\black_pants\2dfa93af84a67c1fcdeaf5ba616640a81faf1510.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\red_pants\6b11961b2fbdffd4da11003caa79f025e33abeaf.jpg,0,0,0,0,1,0,0,0,1,0,0,4
./clothes_dataset\red_dress\ed3eb2b35c74094d552839124089a999668ad8a2.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_dress\9567cb75efeaf3cc2b6d55ed52466f8d34df78d3.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\blue_pants\f5ab3a268ac3f73df8cbcd9319b67a064867e9c5.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_shoes\2bc70a53196d8275b5f4e1fb36a66194318be318.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\brown_shoes\af812b2cd21604fcb7922df2ad766bb5a765e3ec.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\black_shoes\fbf5f94560ccf1f9741b6efe1b3de0ef449e7f77.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\blue_dress\b49e6dd9e0c4afdebe1f5a81517987544921dcc6.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\black_dress\be1f569b2715ea88738baab8e6e55b0669682db0.jpg,1,0,0,0,0,0,1,0,0,0,0,0
./clothes_dataset\brown_pants\c122774f90042f92d38185f4ef6e76237e396b24.jpg,0,0,1,0,0,0,0,0,1,0,0,2
./clothes_dataset\red_dress\850cfab6b83dd79b02e7e15ad1813cd93dc2db59.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\blue_pants\3551b49ed1aa5d822e7857fedf912cc6a677c445.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\white_dress\a483e13bedb7d9b34ec399c99d830ed0f8faaa54.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\black_shorts\4abfaf0b2d1479e419edce3c082033772fd275c8.jpg,1,0,0,0,0,0,0,0,0,1,0,0
./clothes_dataset\green_pants\68f44dcafe4cfaac68a3bd26825a6fd0382f5974.jpg,0,0,0,1,0,0,0,0,1,0,0,3
./clothes_dataset\red_dress\f1aa59809f9c27ed13f5571978f9ccbc60e29157.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\brown_shoes\f87c3e6f53bccaa1341b5c654987f90ddf00d65a.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\blue_shorts\58ed8c8cee58ebfcfb2af25339730dbeb7f8dbc0.jpg,0,1,0,0,0,0,0,0,0,1,0,1
./clothes_dataset\white_shoes\323325864d593952261416ecd24b40b8a7ad54ea.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\black_pants\68be2f57389b897d0f64f7f0b7730c01489dc28c.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\green_shoes\d62ea9239c6a7f5c07bebf486f758a2a0ed89140.jpg,0,0,0,1,0,0,0,0,0,0,1,3
./clothes_dataset\black_shoes\8b4044613da005130fa1ca1015464beb17e0c9bd.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\brown_shoes\f3a10784cc5b4dab4bf7b23ca8dd5b9527fbbdaf.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\black_pants\01551a9ce00e3940ccfc79627c19b3b89fdab741.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\blue_dress\ba59a50fdd561129b9c67eec5bc69e171876bba9.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\black_shoes\9da5a1c3614b41effb1a249b1b997e9713b21e81.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\white_dress\8c7fd1592b7e500a37dc323d8680628b2a23d2a0.jpg,0,0,0,0,0,1,1,0,0,0,0,5
./clothes_dataset\black_shoes\771892e5a780f8f30899af9c3ef4f8e3c757ae17.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\white_shoes\958f503b853cc70b7f07ecea72062df9abbc2814.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\blue_pants\e7c57692b25adaf0c491c020bee451a04137f77f.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\blue_dress\4787788dc1d7e49a32e3df826c82c86aea0e0cff.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\brown_shoes\bf00422cd6c43d8c63d17b04ab309c82ebd3513e.jpg,0,0,1,0,0,0,0,0,0,0,1,2
./clothes_dataset\blue_pants\34be77017b83d0e0209237045329882eca5c4d7a.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\blue_pants\d241b563351aa8335585902d59af6717ad310bdb.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_shoes\1cfa8bb2788f91034e50e027a862c475a3f005bf.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\white_shoes\759345a4ee111395774d6316ece850a58de0f6d4.jpg,0,0,0,0,0,1,0,0,0,0,1,5
./clothes_dataset\black_shirt\042d8f7eda3c271668ada8c4d70f5ab21e28c94c.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\red_dress\c46c542a4c4db337b023d2c4045e59512bb5e157.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\red_dress\83dc4d23b1311f5f945239d2c7e109a9c652e104.jpg,0,0,0,0,1,0,1,0,0,0,0,4
./clothes_dataset\black_shirt\9f69d5e4e03547108fb669fb42c91c23661ead10.jpg,1,0,0,0,0,0,0,1,0,0,0,0
./clothes_dataset\blue_pants\e0ea5d2bbfa30569bce316261531401769c342e3.jpg,0,1,0,0,0,0,0,0,1,0,0,1
./clothes_dataset\black_shoes\7144b8413c46a5d0e3e55f75652d5c014e40cf2d.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\green_shorts\a32a6dc763f0ef484c1d7fbbb6b388236e5adff2.jpg,0,0,0,1,0,0,0,0,0,1,0,3
./clothes_dataset\black_shoes\3738b71bcd5ea939fefe95ef69a9f9a048b05c36.jpg,1,0,0,0,0,0,0,0,0,0,1,0
./clothes_dataset\blue_dress\9d1f893c8a597bad5392405baffde9820f75a42c.jpg,0,1,0,0,0,0,1,0,0,0,0,1
./clothes_dataset\red_shoes\7b09059761517fec59183c5da3128b0e3e1d4942.jpg,0,0,0,0,1,0,0,0,0,0,1,4
./clothes_dataset\black_pants\6abd9b882bbf0b841d21ce0676929e73a6a66345.jpg,1,0,0,0,0,0,0,0,1,0,0,0
./clothes_dataset\blue_shirt\5aa9f726d225a9ae2009d1b641472a19a6370e67.jpg,0,1,0,0,0,0,0,1,0,0,0,1
./clothes_dataset\red_shoes\fc2370733fad7078490a515a8b70cc0e69885873.jpg,0,0,0,0,1,0,0,0,0,0,1,4
